PMS,RA,Dec,B,R,K
HBC351  ,3:52:02.23 ,24:39:47.9 ,12.57 ,10.83 ,9.07
J04152409+2910434,4:15:24.10 ,29:10:43.5 ,,18.95 ,12.36
HBC352  ,3:54:29.50 ,32:03:01.3 ,10.56 ,10.70 ,9.58
J04153916+2818586,4:15:39.16 ,28:18:58.6 ,17.58 ,14.77 ,9.24
HBC353  ,3:54:30.17 ,32:03:04.3 ,,,9.86
J04155799+2746175,4:15:57.99 ,27:46:17.5 ,18.60 ,16.80 ,10.52
HBC354  ,3:54:35.56 ,25:37:11.1 ,12.79 ,11.23 ,11.10
J04161210+2756385,4:16:12.10 ,27:56:38.5 ,19.89 ,17.65 ,10.34
HBC355  ,3:54:35.97 ,25:37:08.1 ,12.79 ,11.23 ,10.21
J04161885+2752155,4:16:18.86 ,27:52:15.5 ,20.58 ,18.64 ,11.35
HBC356  ,4:03:13.95 ,25:52:59.7 ,13.95 ,12.35 ,10.16
LkCa4  ,4:16:28.10 ,28:07:35.8 ,14.49 ,11.71 ,8.32
HBC357  ,4:03:13.95 ,25:52:59.7 ,13.95 ,12.35 ,10.16
J04163048+3037053,4:16:30.48 ,30:37:05.3 ,19.88 ,18.06 ,12.62
HBC358  ,4:03:49.30 ,26:10:52.0 ,15.57 ,13.50 ,9.46
J04163911+2858491,4:16:39.12 ,28:58:49.1 ,20.35 ,18.73 ,11.28
XEST06-006 ,4:03:49.97 ,26:20:38.2 ,20.36 ,17.83 ,12.34
CYTau  ,4:17:33.72 ,28:20:46.8 ,15.15 ,12.50 ,8.60
HBC359  ,4:03:50.84 ,26:10:53.1 ,15.10 ,13.12 ,9.53
LkCa5  ,4:17:38.93 ,28:33:00.5 ,15.59 ,12.70 ,9.05
HBC360  ,4:04:39.36 ,21:58:18.6 ,13.97 ,12.46 ,9.97
KPNO-10  ,4:17:49.55 ,28:13:31.8 ,18.36 ,16.14 ,10.79
HBC361  ,4:04:39.84 ,21:58:21.5 ,0.00 ,12.70 ,10.10
V410 X-ray 1 ,4:17:49.65 ,28:29:36.2 ,17.26 ,14.22 ,9.08
I04016+2610 ,4:04:43.22 ,26:18:54.5 ,20.35 ,16.50 ,9.84
V410 X-ray 3 ,4:18:07.96 ,28:26:03.6 ,19.62 ,16.92 ,10.45
HBC362  ,4:05:30.87 ,21:51:10.6 ,14.73 ,13.43 ,10.06
J04181078+2519574,4:18:10.78 ,25:19:57.4 ,15.92 ,12.26 ,9.03
J04080782+2807280,4:08:07.82 ,28:07:28.1 ,18.32 ,14.97 ,11.39
V410 Anon 13 ,4:18:17.10 ,28:28:41.9 ,0.00 ,18.95 ,10.96
J04124858+2749563,4:12:48.58 ,27:49:56.3 ,17.21 ,15.97 ,11.68
HBC372  ,4:18:21.47 ,16:58:47.0 ,14.32 ,13.50 ,10.46
LkCa1  ,4:13:14.14 ,28:19:10.8 ,15.74 ,12.84 ,8.62
V410 Anon 24 ,4:18:22.39 ,28:24:37.5 ,,,10.73
Anon1  ,4:13:27.22 ,28:16:24.7 ,15.03 ,12.06 ,7.79
V410 Anon 25 ,4:18:29.09 ,28:26:19.1 ,,,9.94
I04108+2803A ,4:13:53.28 ,28:11:23.3 ,,,10.37
KPNO-11  ,4:18:30.30 ,27:43:20.8 ,18.52 ,16.30 ,11.01
I04108+2803B ,4:13:54.71 ,28:11:32.8 ,,,11.06
V410TauA ,4:18:31.10 ,28:27:16.2 ,11.48 ,9.88 ,7.63
I04108+2910 ,4:13:57.37 ,29:18:19.3 ,17.44 ,14.43 ,9.36
V410TauB ,4:18:31.10 ,28:27:16.2 ,11.48 ,9.88 ,7.63
J04141188+2811535,4:14:11.88 ,28:11:53.5 ,18.47 ,17.36 ,11.64
V410TauC ,4:18:31.10 ,28:27:16.2 ,11.48 ,9.88 ,7.63
V773TauA ,4:14:12.91 ,28:12:12.4 ,11.39 ,9.97 ,6.21
DDTauA  ,4:18:31.12 ,28:16:29.0 ,15.67 ,13.40 ,7.88
V773TauB ,4:14:12.91 ,28:12:12.4 ,11.39 ,9.97 ,6.21
DDTauB  ,4:18:31.12 ,28:16:29.0 ,15.67 ,13.40 ,7.88
FMTau  ,4:14:13.58 ,28:12:49.2 ,15.57 ,13.14 ,8.76
CZTauA  ,4:18:31.58 ,28:16:58.5 ,16.27 ,14.50 ,9.36
FNTau  ,4:14:14.58 ,28:27:58.0 ,16.30 ,13.48 ,8.19
CZTauB  ,4:18:31.58 ,28:16:58.5 ,16.27 ,14.50 ,9.36
CWTau  ,4:14:17.00 ,28:10:57.8 ,14.84 ,11.75 ,7.13
I04154+2823 ,4:18:32.03 ,28:31:15.3 ,,,10.27
CIDA-1  ,4:14:17.60 ,28:06:09.6 ,18.15 ,15.86 ,9.88
V410 X-ray 2 ,4:18:34.44 ,28:30:30.2 ,,,9.22
I04113+2758 ,4:14:26.26 ,28:06:03.2 ,21.36 ,18.91 ,7.78
V410 X-ray 4 ,4:18:40.23 ,28:24:24.5 ,,,9.69
MHO2  ,4:14:26.40 ,28:05:59.7 ,21.36 ,18.91 ,7.80
V892Tau  ,4:18:40.61 ,28:19:15.5 ,16.60 ,13.96 ,5.79
MHO3  ,4:14:30.55 ,28:05:14.7 ,20.24 ,16.84 ,8.24
LR1  ,4:18:41.33 ,28:27:25.0 ,,,11.05
FPTau  ,4:14:47.30 ,26:46:26.4 ,14.81 ,12.13 ,8.87
V410 X-ray  7 ,4:18:42.50 ,28:18:49.8 ,0.00 ,18.49 ,9.26
XEST20-066 ,4:14:47.39 ,28:03:05.5 ,17.33 ,15.09 ,9.92
V410 Anon 20 ,4:18:45.05 ,28:20:52.8 ,,,11.93
CXTau  ,4:14:47.86 ,26:48:11.0 ,15.18 ,12.63 ,8.81
Hubble4  ,4:18:47.03 ,28:20:07.3 ,13.34 ,11.93 ,7.29
LkCa3A  ,4:14:47.97 ,27:52:34.6 ,13.98 ,11.35 ,7.42
KPNO-2  ,4:18:51.15 ,28:14:33.2 ,0.00 ,18.95 ,12.75
LkCa3B  ,4:14:47.97 ,27:52:34.6 ,13.98 ,11.35 ,7.42
CoKuTau/1 ,4:18:51.47 ,28:20:26.4 ,19.56 ,16.06 ,10.97
FOTauA  ,4:14:49.28 ,28:12:30.5 ,16.97 ,13.79 ,8.12
HBC376  ,4:18:51.70 ,17:23:16.5 ,12.91 ,11.41 ,9.27
FOTauB  ,4:14:49.28 ,28:12:30.5 ,16.97 ,13.79 ,8.12
I04158+2805 ,4:18:58.13 ,28:12:23.4 ,20.02 ,17.94 ,11.18
CIDA-2  ,4:15:05.15 ,28:08:46.2 ,17.12 ,14.52 ,9.09
V410 X-ray  6 ,4:19:01.10 ,28:19:42.0 ,18.95 ,16.50 ,9.13
KPNO-1  ,4:15:14.71 ,28:00:09.6 ,,,13.77
KPNO-12  ,4:19:01.26 ,28:02:48.7 ,,,14.93
V410 X-ray 5a ,4:19:01.97 ,28:22:33.2 ,21.28 ,18.48 ,10.15
XEST11-087 ,4:22:24.04 ,26:46:25.8 ,18.71 ,15.91 ,9.77
FQTauA  ,4:19:12.81 ,28:29:33.0 ,16.81 ,14.33 ,9.31
I04196+2638 ,4:22:47.86 ,26:45:53.0 ,19.56 ,16.10 ,9.29
FQTauB  ,4:19:12.81 ,28:29:33.0 ,16.81 ,14.33 ,9.31
J04230607+2801194,4:23:06.07 ,28:01:19.4 ,20.20 ,16.98 ,11.20
BPTau  ,4:19:15.83 ,29:06:26.9 ,13.00 ,13.38 ,7.74
I04200+2759 ,4:23:07.76 ,28:05:57.3 ,17.71 ,16.66 ,10.41
V819Tau  ,4:19:26.25 ,28:26:14.2 ,15.26 ,12.01 ,8.42
J04231822+2641156,4:23:18.22 ,26:41:15.6 ,19.58 ,19.34 ,10.18
FR Tau  ,4:19:35.45 ,28:27:21.8 ,17.26 ,14.84 ,9.97
FUTau  ,4:23:35.39 ,25:03:02.6 ,19.10 ,16.70 ,9.32
LkCa7A  ,4:19:41.27 ,27:49:48.4 ,14.23 ,11.76 ,8.26
FTTau  ,4:23:39.19 ,24:56:14.1 ,15.72 ,12.65 ,8.60
LkCa7B  ,4:19:41.27 ,27:49:48.4 ,14.23 ,11.76 ,8.26
J04242090+2630511,4:24:20.90 ,26:30:51.1 ,20.34 ,18.73 ,12.43
I04166+2706 ,4:19:41.48 ,27:16:07.0 ,,,11.54
CFHT-9  ,4:24:26.46 ,26:49:50.3 ,20.59 ,18.30 ,11.76
I04169+2702 ,4:19:58.44 ,27:09:57.0 ,,,11.58
I04216+2603 ,4:24:44.57 ,26:10:14.1 ,18.33 ,15.46 ,9.05
J04201611+2821325,4:20:16.11 ,28:21:32.5 ,20.56 ,18.42 ,12.55
J1-4423  ,4:24:45.06 ,27:01:44.7 ,17.62 ,15.16 ,10.46
J04202555+2700355,4:20:25.55 ,27:00:35.5 ,20.55 ,18.75 ,11.51
IPTau  ,4:24:57.08 ,27:11:56.5 ,14.11 ,12.29 ,8.35
J04202583+2819237,4:20:25.83 ,28:19:23.7 ,20.40 ,18.02 ,11.72
J1-4872A ,4:25:17.67 ,26:17:50.4 ,15.13 ,12.42 ,8.54
J04202606+2804089,4:20:26.06 ,28:04:08.9 ,16.41 ,13.90 ,9.70
J1-4872B ,4:25:17.67 ,26:17:50.4 ,15.13 ,12.42 ,8.54
XEST16-045 ,4:20:39.18 ,27:17:31.7 ,18.15 ,16.22 ,9.56
KPNO-3  ,4:26:29.39 ,26:24:13.7 ,19.89 ,19.02 ,12.08
J2-157  ,4:20:52.73 ,17:46:41.5 ,17.12 ,15.52 ,10.78
FVTauA  ,4:26:53.52 ,26:06:54.3 ,17.47 ,14.00 ,7.44
CFHT-19  ,4:21:07.95 ,27:02:20.4 ,0.00 ,18.85 ,10.54
FVTauB  ,4:26:53.52 ,26:06:54.3 ,17.47 ,14.00 ,7.44
J04210934+2750368,4:21:09.34 ,27:50:36.8 ,17.77 ,15.55 ,10.36
FVTau/cA ,4:26:54.40 ,26:06:51.0 ,18.69 ,15.46 ,8.87
I04181+2654B ,4:21:10.38 ,27:01:37.2 ,,,11.09
FVTau/cB ,4:26:54.40 ,26:06:51.0 ,18.69 ,15.46 ,8.87
I04181+2655 ,4:21:10.90 ,27:02:06.0 ,,,
I04239+2436 ,4:26:56.29 ,24:43:35.3 ,,,9.99
I04181+2654A ,4:21:11.46 ,27:01:09.4 ,,,10.34
KPNO-13  ,4:26:57.33 ,26:06:28.4 ,19.78 ,16.64 ,9.58
J04213459+2701388,4:21:34.59 ,27:01:38.8 ,20.46 ,17.32 ,10.44
DG Tau B ,4:27:02.66 ,26:05:30.4 ,,19.39 ,
XEST21-026 ,4:21:40.13 ,28:14:22.4 ,18.15 ,16.22 ,11.03
DFTauA  ,4:27:02.80 ,25:42:22.3 ,12.96 ,13.34 ,6.73
I04187+1927 ,4:21:43.23 ,19:34:13.3 ,16.99 ,14.86 ,8.02
DFTauB  ,4:27:02.80 ,25:42:22.3 ,12.96 ,13.34 ,6.73
CFHT-10  ,4:21:46.31 ,26:59:29.6 ,,,12.31
DGTau  ,4:27:04.69 ,26:06:16.3 ,10.13 ,8.97 ,6.99
J04215450+2652315,4:21:54.51 ,26:52:31.5 ,,,13.90
KPNO-4  ,4:27:27.99 ,26:12:05.2 ,,19.70 ,13.28
DETau  ,4:21:55.63 ,27:55:06.0 ,14.98 ,11.89 ,7.80
CFHT-15  ,4:27:45.38 ,23:57:24.3 ,,,13.69
RYTau  ,4:21:57.40 ,28:26:35.5 ,10.73 ,9.62 ,5.39
I04248+2612 ,4:27:57.30 ,26:19:18.3 ,20.58 ,15.73 ,11.03
HD283572 ,4:21:58.84 ,28:18:06.6 ,9.44 ,8.56 ,6.87
J04284263+2714039,4:28:42.63 ,27:14:03.9 ,17.51 ,16.81 ,10.46
TTauN  ,4:21:59.43 ,19:32:06.3 ,10.47 ,9.19 ,5.33
J04290068+2755033,4:29:00.68 ,27:55:03.3 ,,,12.85
TTauS  ,4:21:59.43 ,19:32:06.3 ,10.47 ,9.19 ,5.33
I04260+2642 ,4:29:04.98 ,26:49:07.3 ,19.97 ,18.46 ,11.88
I04191+1523 ,4:22:00.10 ,15:30:21.3 ,,,12.26
J1-507  ,4:29:20.71 ,26:33:40.6 ,16.08 ,13.56 ,8.79
H6-5B  ,4:22:00.69 ,26:57:32.4 ,,,11.75
I04263+2654 ,4:29:21.65 ,27:01:25.9 ,,17.96 ,8.72
FSTauA  ,4:22:02.17 ,26:57:30.4 ,13.78 ,11.33 ,8.18
GVTauA  ,4:29:23.73 ,24:33:00.2 ,17.62 ,13.13 ,8.05
FSTauB  ,4:22:02.17 ,26:57:30.4 ,13.78 ,11.33 ,8.18
GVTauB  ,4:29:23.73 ,24:33:00.2 ,17.62 ,13.13 ,8.05
LkCa21  ,4:22:03.13 ,28:25:38.9 ,15.32 ,12.45 ,8.45
I04263+2426 ,4:29:24.11 ,24:32:57.7 ,20.54 ,15.36 ,10.57
J04221332+1934392,4:22:13.32 ,19:34:39.2 ,19.86 ,19.34 ,11.53
FWTauC  ,4:29:29.71 ,26:16:53.2 ,17.47 ,14.65 ,9.39
XEST11-078 ,4:22:15.68 ,26:57:06.0 ,20.18 ,17.16 ,12.03
FWTauA  ,4:29:29.71 ,26:16:53.2 ,17.47 ,14.65 ,9.39
CFHT-14  ,4:22:16.44 ,25:49:11.8 ,20.49 ,19.07 ,11.94
FWTauB  ,4:29:29.71 ,26:16:53.2 ,17.47 ,14.65 ,9.39
CFHT-21  ,4:22:16.76 ,26:54:57.1 ,19.36 ,15.61 ,9.00
I04264+2433 ,4:29:30.08 ,24:39:55.0 ,,18.42 ,11.13
J04293606+2435556,4:29:36.06 ,24:35:55.6 ,18.32 ,16.17 ,8.66
J04320329+2528078,4:32:03.29 ,25:28:07.8 ,19.71 ,16.84 ,10.72
DHTauA  ,4:29:41.55 ,26:32:58.2 ,14.96 ,12.09 ,8.18
L1551-51 ,4:32:09.27 ,17:57:22.8 ,13.83 ,11.13 ,12.15
DHTauB  ,4:29:41.55 ,26:32:58.2 ,14.96 ,12.09 ,8.18
V827Tau  ,4:32:14.56 ,18:20:14.7 ,14.35 ,11.39 ,8.23
DITauA  ,4:29:42.47 ,26:32:49.3 ,14.12 ,0.00 ,8.39
Haro6-13 ,4:32:15.40 ,24:28:59.7 ,18.86 ,14.85 ,8.10
DITauB  ,4:29:42.47 ,26:32:49.3 ,14.12 ,0.00 ,8.39
V826TauA ,4:32:15.83 ,18:01:38.7 ,14.23 ,11.28 ,8.25
KPNO-5  ,4:29:45.68 ,26:30:46.8 ,20.56 ,18.68 ,11.54
V826TauB ,4:32:15.83 ,18:01:38.7 ,14.23 ,11.28 ,8.25
IQTau  ,4:29:51.56 ,26:06:44.8 ,15.60 ,12.14 ,7.78
MHO5  ,4:32:16.02 ,18:12:46.4 ,18.95 ,16.36 ,10.06
CFHT-20  ,4:29:59.50 ,24:33:07.8 ,20.52 ,17.15 ,9.81
CFHT-7  ,4:32:17.86 ,24:22:14.9 ,19.99 ,16.73 ,10.38
UXTauC  ,4:30:03.99 ,18:13:49.3 ,12.04 ,10.30 ,7.55
V928TauA ,4:32:18.85 ,24:22:27.1 ,15.59 ,12.87 ,8.11
UXTauB  ,4:30:03.99 ,18:13:49.3 ,12.04 ,10.30 ,7.55
V928TauB ,4:32:18.85 ,24:22:27.1 ,15.59 ,12.87 ,8.11
UXTauA  ,4:30:03.99 ,18:13:49.3 ,12.04 ,10.30 ,7.55
MHO6  ,4:32:22.10 ,18:27:42.6 ,17.00 ,15.30 ,10.65
KPNO-6  ,4:30:07.24 ,26:08:20.7 ,0.00 ,19.42 ,13.69
J04322329+2403013,4:32:23.29 ,24:03:01.3 ,21.15 ,18.35 ,11.33
CFHT-16  ,4:30:23.65 ,23:59:12.9 ,18.14 ,15.37 ,13.70
J04322415+2251083,4:32:24.15 ,22:51:08.3 ,18.75 ,15.95 ,10.53
FXTauA  ,4:30:29.61 ,24:26:45.0 ,15.01 ,12.71 ,7.92
MHO7  ,4:32:26.27 ,18:27:52.1 ,18.06 ,15.96 ,10.17
FXTauB  ,4:30:29.61 ,24:26:45.0 ,15.01 ,12.71 ,7.92
GGTauBa  ,4:32:30.28 ,17:31:30.3 ,,,9.97
